,id,loc,dis
118,基隆北街与柳江路交汇,"125.282973,43.932590",2380
119,基隆北街与新月路交汇,"125.293566,43.936564",1785
120,基隆北街与柳江路交汇,"125.282973,43.932590",2380
121,基隆北街与柳江路交汇,"125.282973,43.932590",2380
122,基隆北街与柳江路交汇,"125.282973,43.932590",2380
123,北四环路与北凯旋路交汇,"125.318963,43.950387",3146
124,基隆北街与柳江路交汇,"125.282973,43.932590",2380
125,龙泰檀香苑二期,"125.285429,43.931570",2642
126,北凯旋路与北辰路交汇,"125.304630,43.971832",5032
127,新隆家园,"125.279659,43.937653",2244
128,檀香苑,"125.286055,43.933835",2062
129,檀香苑,"125.286055,43.933835",2062
130,长春市宽城区旭阳家园,"125.328896,43.921954",4400
131,凯悦小区（司法局对面）,"125.296614,43.954810",2719
132,宽城区万龙银河城,"125.259373,44.011866",10524
133,柳影路与菜市南街交汇,"125.296362,43.944073",825
134,新月路豪邦四季经典,"125.281784,43.935034",2589
135,基隆北街与新月路交汇 ,"125.293566,43.936564",1785
136,北环城路与菜市北街交汇英伦小镇B区,"125.306239,43.950159",2319
137,新月路豪邦四季经典,"125.281784,43.935034",2589
138,基隆北街檀香苑,"125.288667,43.930552",2031
139,西环城路与新月路交汇,"125.293566,43.936564",1785
140,菜市北街与北环路交汇,"125.308155,43.944690",1456
141,新月路豪邦四季经典,"125.281784,43.935034",2589
142,新惠路与基隆北街交汇,"125.285164,43.937473",2645
143,新月路,"125.288424,43.937339",1807
144,柳江路与花莲路交汇,"125.286222,43.924038",2835
145,文德街与谭家街交汇,"125.753346,43.587525",72588
146,民康路与民康南胡同交汇,"125.336083,43.879626",10431
147,基隆北街与新惠路交汇,"125.288667,43.930552",2031
148,基隆北街与新月路交汇,"125.293566,43.936564",1785
149,基隆北街与新惠路交汇,"125.288667,43.930552",2031
150,基隆北街与新月路交汇,"125.293566,43.936564",1785
151,豪邦四季经典北门,"125.279430,43.935796",2506
152,凯旋路与庆丰路交汇处,"125.317651,43.937161",2080
153,凯旋花园小区门口,"125.319134,43.934428",2707
154,基隆北街新月路交汇新大华府,"125.282220,43.938146",2296
155,基隆街与新月路交汇豪邦四季经典,"125.293566,43.936564",1785
156,基隆北街与新惠路交口檀香苑一期,"125.283657,43.930311",2453
157,基隆北街与新月路交汇豪邦四季经典,"125.293566,43.936564",1785
158,青年路与新月路交汇车轮厂宿舍,"125.293352,43.935658",1781
159,基隆北街与新惠路交口檀香苑一期,"125.283657,43.930311",2453
160,文德街与谭家街交汇,"125.753346,43.587525",72588
161,台北大街青石路,"125.309096,43.917985",4595
162,新月路与北环路交汇处,"125.301577,43.948754",1397
163,新月路新隆家园,"125.279778,43.938041",2374
164,雁鸣湖山庄,"125.275527,43.940929",2796
165,新月路新大华府,"125.282220,43.938146",2296
166,龙泰檀香苑2期,"125.285226,43.931391",2453
167,新隆家园,"125.279659,43.937653",2244
