,id,loc_x,loc_y,dis,mapbar_x,mapbar_y,centroid,normalize_x,normalize_y
0,北凯旋路与桐雨街交汇,125.304630,43.971832,5032,125.305890570747,43.969693467882,1,0.0058978949650025925,0.028981391059005546
1,台北大街,125.310204,43.922719,4320,125.311446668837,43.920952148438,2,0.0114539930549995,-0.019759928384999625
2,基隆街与新月路交汇,125.283408,43.937287,2505,125.284712727865,43.935415581598,0,-0.015279947916994274,-0.005296495224996534
3,青年路司法局长安世家,125.288964,43.954630,2355,125.290255262587,43.952631564671,1,-0.009737413194997657,0.01191948784800445
4,青年路司法局长安世家,125.288964,43.954630,2355,125.290255262587,43.952631564671,1,-0.009737413194997657,0.01191948784800445
5,豪邦四季经典,125.281784,43.935034,2589,125.283100043403,43.933185492622,0,-0.01689263237899752,-0.007526584200995501
6,豪邦四季经典,125.281784,43.935034,2589,125.283100043403,43.933185492622,0,-0.01689263237899752,-0.007526584200995501
7,龙泰檀香苑,125.287531,43.930838,2782,125.288828667535,43.92901421441,0,-0.011164008246993262,-0.011697862412994198
8,龙泰檀香苑,125.287531,43.930838,2782,125.288828667535,43.92901421441,0,-0.011164008246993262,-0.011697862412994198
9,万龙国际城,125.320490,43.952957,2937,125.321707899306,43.950962727865,2,0.021715223524012117,0.010250651041999959
10,新隆家园站,125.279659,43.937653,2244,125.280977105035,43.935791829428,0,-0.01901557074698701,-0.004920247394998967
11,农安西街,125.297225,43.942344,387,125.298489583334,43.940429958768,1,-0.0015030924479901842,-0.00028211805499722686
12,豪邦四季经典,125.281784,43.935034,2589,125.283100043403,43.933185492622,0,-0.01689263237899752,-0.007526584200995501
13,豪邦四季风采,125.295695,43.934932,1373,125.296965060764,43.933082139757,0,-0.0030276150179986416,-0.00762993706599957
14,檀香苑一期,125.283657,43.930311,2453,125.28496202257,43.928500162761,0,-0.01503065321199415,-0.012211914062000062
15,新隆家园站,125.279659,43.937653,2244,125.280977105035,43.935791829428,0,-0.01901557074698701,-0.004920247394998967
16,新隆家园站,125.279659,43.937653,2244,125.280977105035,43.935791829428,0,-0.01901557074698701,-0.004920247394998967
17,新隆家园站,125.279659,43.937653,2244,125.280977105035,43.935791829428,0,-0.01901557074698701,-0.004920247394998967
18,龙泰檀香苑三期,125.285577,43.933613,2102,125.286875813803,43.931780327691,0,-0.013116861979000305,-0.008931749131996014
19,柳江路和基隆北街交汇,125.283642,43.931913,2727,125.284952256945,43.930089246962,0,-0.015040418836989033,-0.010622829860999161
20,新隆家园站,125.279659,43.937653,2244,125.280977105035,43.935791829428,0,-0.01901557074698701,-0.004920247394998967
21,新隆家园站,125.279659,43.937653,2244,125.280977105035,43.935791829428,0,-0.01901557074698701,-0.004920247394998967
22,新月山庄,125.290139,43.936219,1727,125.291424424914,43.934354112414,0,-0.008568250867995175,-0.0063579644089983844
23,豪邦四季经典c区,125.280364,43.931770,3301,125.281677246094,43.929956054688,0,-0.018315429687987717,-0.010756022134998489
24,新大华府,125.282220,43.938146,2296,125.28353108724,43.936274142796,0,-0.016461588542000527,-0.004437934026995549
