,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
0,0,宽城区公园一号小区,"125.298724,43.942621",0,"125.299992675782,43.940712076823",0,"-0.008428819444006308,0.005573459200995501"
1,1,"北凯旋路万龙国际城3期
","125.304630,43.971832",4853,"125.305890570747,43.969693467882",1,"-0.0025309244790037155,0.03455485026000105"
2,2,恒大城小区（青年路东二门）,"125.290970,43.945947",3533,"125.292257215712,43.944009602865",0,"-0.016164279514001123,0.008870985243000007"
3,3,米澜国际小区,"125.304612,43.949101",2162,"125.305867241754,43.947137044271",2,"-0.0025542534719988907,0.011998426649000749"
4,4,榆树南街宏亭小区,"125.299687,43.935951",971,"125.30094373915,43.934087456598",0,"-0.007477756075999764,-0.0010511610240016012"
