,id,loc,dis
121,铁路宿舍19栋,"125.316280,43.907517",3556
122,小南街欧亚超市,"125.364417,43.825725",14034
123,宽府路288公交站点,"125.330062,43.942557",2223
124,宽城区上台新村南1门劳模会馆对面,"125.349374,43.931623",2354
125,宽城区宽府路,"125.330062,43.942557",2223
126,宽城区邱家小区,"125.276400,44.003564",11421
127,上台花园C区,"125.343106,43.938717",3131
128,民生家园273站点,"125.308482,43.920283",2611
129,金质融城三期,"125.326922,43.934438",1545
130,小南街华大天朗 A 区,"125.343250,43.948374",3717
131,北凯旋路与尚邻路交汇273路站点,"125.313452,43.963358",5152
132,华大城2期南门,"125.332435,43.958598",5210
133,卓阳中华城,"125.330167,43.947714",2931
134,北亚泰大街,"125.338003,43.939176",2325
135,劳模会馆,"125.349006,43.930739",2218
136,长新街铁路小区,"125.335835,43.930323",1587
137,北十条,"125.352981,43.917447",2911
138,万龙国际城三期（178路北四环站）,"125.320490,43.952957",5144
139,劳模会馆,"125.349006,43.930739",2218
140,保利百合香湾D区,"125.370851,43.925256",3436
141,紫金豪庭,"125.335771,43.938949",2616
142,证大光明城三期南门或西门,"125.330233,43.938739",1931
143,包豪斯小区,"125.335921,43.931923",1862
144,宽府路,"125.330062,43.942557",2223
145,华泰二期,"125.302644,43.943920",4155
146,凯旋路凯旋花园,"125.319134,43.934428",1985
147,万龙建阳府,"125.286374,43.887531",7710
148,紫金豪庭东门,"125.335771,43.938949",2616
149,吉林工师,"125.316444,43.937447",2266
150,荣旺天下C区,"125.346395,43.917014",2597
151,华侨城b区,"125.342699,43.932932",2519
152,288天光路站点春铁新城二区,"125.331814,43.919633",1004
153,美韵星海小区,"125.299878,43.944584",3921
154,中冶蓝城,"125.316863,43.953527",4451
155,华大天朗,"125.345208,43.948490",4042
156,万星幸福城A区,"125.334569,43.948901",3565
157,上台新村南二栋一门101室,"125.347127,43.934324",2573
158,白金首府,"125.348910,43.928470",2047
159,吴中印象二期,"125.330962,43.943927",2590
160,北十条,"125.352981,43.917447",2911
161,证大二期,"125.329260,43.939946",1891
162,逸佳小区北门,"125.275625,43.935187",6516
163,旭阳家园2栋,"125.326344,43.926405",633
164,恒大城,"125.291287,43.946914",4668
165,东田青年城,"125.291694,43.943211",5702
166,后现代橙,"125.326443,43.923107",511
167,钻石里都,"125.338392,43.946433",3335
168,宽城区  柳影路  铁路二期,"125.314064,43.937323",2512
169,证大清丰园,"125.331000,43.938696",1958
170,奥体玉园二期,"125.417384,43.989217",15587
171,早上开车送,"125.323544,43.817071",14375
