,id,loc_x,loc_y,dis,mapbar_x,mapbar_y,centroid,normalize_x,normalize_y
0,九台路与富城路交汇,125.329950,43.931220,1074,125.331160210504,43.929403211806,1,-0.00019938151000076232,0.007195095485997172
1,上台花园C区南门,125.343106,43.938717,3131,125.34427734375,43.936833767362,1,0.01291775173599774,0.014625651042003085
2,紫金豪庭东门,125.335771,43.938949,2616,125.336967502171,43.937060004341,1,0.005607910157010565,0.014851888020999127
3,紫金豪庭,125.335771,43.938949,2616,125.336967502171,43.937060004341,1,0.005607910157010565,0.014851888020999127
4,中正御华庭东北门,125.335362,43.933687,2112,125.336555175782,43.93184217665,1,0.0051955837679997785,0.009634060330000693
5,证大光明城三期南门,125.330233,43.938739,1931,125.331432291667,43.936849500869,1,7.269965300338299e-05,0.014641384549001657
6,证大光明城三期南门,125.330233,43.938739,1931,125.331432291667,43.936849500869,1,7.269965300338299e-05,0.014641384549001657
7,正大光明城三期南门,125.330489,43.938474,1976,125.331682671441,43.936599934896,1,0.00032307942700526837,0.01439181857600147
8,友谊花园,125.320090,43.936737,2190,125.321314290365,43.934861653646,1,-0.010045301649000749,0.012653537326002606
9,英伦小镇二期（尚邻路）,125.300247,43.956956,6470,125.301508517796,43.954935709636,2,-0.029851074218001372,0.03272759331599673
10,英伦小镇二期,125.301097,43.956786,5806,125.30234998915,43.954766981337,2,-0.029009602863993678,0.03255886501700189
11,英伦小镇,125.307047,43.951043,4722,125.308293457032,43.949070095487,2,-0.023066134982002495,0.026861979167001948
12,一匡街与亚泰大街交汇,125.338823,43.921178,954,125.340012749566,43.919426269532,0,0.008653157552004132,-0.0027818467879967557
13,耀江五月花苑,125.333818,43.925013,460,125.335009765625,43.923234320747,0,0.003650173611006835,0.0010262044269992998
14,亚泰大街与天光路交汇钻石礼都,125.339658,43.922210,900,125.340845269098,43.920457085504,0,0.009485677084001054,-0.0017510308160026966
15,亚泰大街与宽府路交汇,125.335133,43.941567,2519,125.336325954862,43.939667154948,1,0.004966362848008998,0.01745903862799736
16,亚太大街一匡街交汇,125.359258,43.924393,2588,125.36039577908,43.922631293403,0,0.029036187065997865,0.00042317708300032564
17,亚泰大街宽府路交汇,125.335133,43.941567,2519,125.336325954862,43.939667154948,1,0.004966362848008998,0.01745903862799736
18,小南街与团兴街交汇,125.334852,43.960688,5185,125.336048177084,43.958635253907,1,0.0046885850699993625,0.03642713758699756
19,小南街万盛珑玺B区,125.336138,43.955323,4589,125.337320963542,43.953320855035,1,0.005961371528002246,0.031112738715002308
20,小南街沈铁北部湾,125.332774,43.954984,4812,125.333971625435,43.952984483507,1,0.0026120334210020246,0.03077636718700205
21,小南街,125.334852,43.960688,5185,125.336048177084,43.958635253907,1,0.0046885850699993625,0.03642713758699756
22,香槟小镇(华桥城),125.340908,43.932803,1976,125.342090115018,43.930973307292,0,0.010730523003999792,0.00876519097199946
23,吴中印象一期,125.334992,43.943573,2863,125.336185709636,43.941655815973,1,0.004826117622002357,0.019447699652999972
24,五月花苑小区,125.330936,43.924847,396,125.332131890191,43.923068847657,0,0.0007722981769973103,0.0008607313369992653
25,五月花小区,125.333480,43.924662,385,125.334678819445,43.922894151476,0,0.003319227431006766,0.0006860351560007416
26,温馨花园,125.336130,43.922033,692,125.337325575087,43.920280490452,0,0.005965983072997005,-0.0019276258679994385
27,万星幸福城一期,125.333705,43.949346,3681,125.334893391928,43.94737982856,1,0.0035337999140097054,0.025171712240002364
28,万星幸福城B区,125.334114,43.948937,3632,125.33530436198,43.946980794271,1,0.003944769965997352,0.02477267795099891
29,万龙国际城三期,125.320490,43.952957,5144,125.321707899306,43.950962727865,1,-0.009651692707990378,0.028754611544997033
30,台北大街东方花园小区,125.309501,43.923371,3326,125.310744900174,43.921610785591,2,-0.020614691839995203,-0.0005973307290005891
31,万龙北斗星城C区,125.296899,43.940880,4162,125.298168674046,43.93898030599,2,-0.03319091796799967,0.01677218967000016
32,团山街轮胎厂宿舍,125.357022,43.939454,4125,125.358172743056,43.937578667535,0,0.02681315104200621,0.01537055121499975
33,天润中华城B区,125.341890,43.920172,1323,125.343081054688,43.918442925348,0,0.011721462674003646,-0.0037651909719969012
34,天光路金地名悦,125.326407,43.919530,1248,125.327618815105,43.917793511285,0,-0.0037407769089981002,-0.004414605035002239
35,天光路金地名悦,125.326407,43.919530,1248,125.327618815105,43.917793511285,0,-0.0037407769089981002,-0.004414605035002239
36,台北雅苑,125.320613,43.922281,1073,125.321833496094,43.920521104601,0,-0.00952609591999476,-0.0016870117189995426
37,台北大街与亚泰大街交汇,125.338823,43.921178,954,125.340012749566,43.919426269532,0,0.008653157552004132,-0.0027818467879967557
38,上台新村北门,125.345958,43.937504,2745,125.347124565973,43.935640190973,0,0.015764973959008444,0.013432074652996562
39,上台花园A区,125.339543,43.940467,2994,125.34072781033,43.938576388889,1,0.009368218315998433,0.016368272568996645
40,荣旺天下DE区正门（金苹果家园对面）,125.349546,43.919534,2080,125.350710991754,43.917807074653,0,0.019351399740003217,-0.004401041667001948
41,庆丰路地铁站,125.324188,43.937160,1819,125.325395507813,43.93528889974,1,-0.005964084200996922,0.013080783420001296
42,庆丰路,125.333344,43.937362,2460,125.334540473091,43.935496148004,1,0.0031808810770002083,0.013288031683998724
43,美印雅苑东天光路与利国街交汇处,125.346423,43.919857,1981,125.347593044705,43.918121202257,0,0.016233452690997296,-0.004086914063002212
44,美印雅苑东天光路与利国街交汇,125.346423,43.919857,1981,125.347593044705,43.918121202257,0,0.016233452690997296,-0.004086914063002212
45,美印雅苑,125.346423,43.919857,1981,125.347593044705,43.918121202257,0,0.016233452690997296,-0.004086914063002212
46,美景天城二期北门,125.307930,43.935957,3226,125.309183213976,43.934090440539,2,-0.022176378037997324,0.011882324219001816
47,柳影路万龙第八城,125.306080,43.940701,3211,125.30732937283,43.938804796007,2,-0.024030219183998724,0.016596679686998073
48,柳影路,125.314064,43.937323,2512,125.315298665365,43.935450032553,2,-0.016060926648989948,0.013241916232999529
49,乐嘉茗园公交21路农安北街站,125.300723,43.944509,3856,125.301987304688,43.942573784723,2,-0.02937228732599806,0.020365668403002246
50,宽府路站,125.330062,43.942557,2223,125.331262207032,43.940646701389,1,-9.73849819985162e-05,0.018438585068999203
51,宽府路,125.298724,43.942621,0,125.299992675782,43.940712076823,2,-0.031366916232002495,0.018503960502997074
52,宽城区天光路,125.332757,43.920230,796,125.333956163195,43.918495279948,0,0.00259657118100165,-0.0037128363720029256
53,宽城区天光路,125.332757,43.920230,796,125.333956163195,43.918495279948,0,0.00259657118100165,-0.0037128363720029256
54,宽城区东田青年城北门。,125.292974,43.945261,5859,125.294251030816,43.943332519532,2,-0.03710856119799644,0.021124403211999265
55,"宽城区长江花园
",125.370651,43.883343,7847,125.371783854167,43.881892632379,0,0.040424262153010204,-0.04031548394100071
56,凯旋路凯旋花园,125.319134,43.934428,1985,125.320361328125,43.932571072049,1,-0.010998263888993165,0.01036295572900059
57,凯旋花园,125.318846,43.934182,2612,125.320070529514,43.932330729167,1,-0.011289062499997726,0.01012261284699889
58,九台路与长新街交汇处,125.329202,43.930891,851,125.330408257379,43.929072265625,1,-0.0009513346349905305,0.006864149305002343
59,九台路交庆丰路交汇,125.337294,43.937788,2242,125.338481174046,43.935913628473,1,0.007121582031999196,0.01370551215300253
60,九台路,125.329789,43.919390,578,125.33098795573,43.917660047744,0,-0.0003716362840009424,-0.004548068575999764
61,金美程家园西区,125.348569,43.922022,1712,125.349729003907,43.920273980035,0,0.018369411893004894,-0.0019341362850013866
62,华美春城小区,125.338554,43.914914,1650,125.339741210938,43.91321967231,0,0.008381618924005352,-0.008988444010000762
63,华大城五期,125.333361,43.956673,5253,125.334553765191,43.95465467665,1,0.003194173177007542,0.03244656033000126
64,华大城二期南门,125.333421,43.959128,5127,125.334614257813,43.957093098959,1,0.003254665799005352,0.03488498263899942
65,恒大城,125.291287,43.946914,4668,125.292568088108,43.944969075521,2,-0.038791503905997615,0.022760959201001185
66,公交车288路庆丰路站,125.324700,43.936000,1756,125.325916612414,43.934140625,1,-0.005442979599990849,0.011932508679997511
67,富城路站,125.328178,43.944964,2451,125.329377441407,43.943031955296,1,-0.001982150606991695,0.02082383897599982
68,二道区中顺福苑5栋301,125.371941,43.934629,4509,125.373054470487,43.932784559462,0,0.04169487847300957,0.010576443141999903
69,东田青年城D区新月路宽城交警队,125.289599,43.936931,4978,125.290883517796,43.935072970921,2,-0.04047607421799171,0.012864854600998399
70,东环城路与宜良路交汇,125.381067,43.926559,4372,125.382148708768,43.924770236546,0,0.05078911675400377,0.002562120226002662
71,长新街与亚泰大街交汇,125.338823,43.921178,954,125.340012749566,43.919426269532,0,0.008653157552004132,-0.0027818467879967557
72,长新街与凯旋路交汇马赛公寓,125.336928,43.931392,1665,125.338109266494,43.929566514757,0,0.006749674480005297,0.007358398436998925
73,长新街香槟小镇南门,125.341581,43.931876,1785,125.342762044271,43.93004530165,0,0.011402452257001983,0.007837185329996998
74,长新街内饰件宿舍,125.341050,43.930567,1806,125.342240397136,43.928744845921,0,0.010880805121999515,0.006536729601002378
75,长新街马塞公寓,125.318899,43.931967,1839,125.320120442709,43.930132107205,1,-0.011239149304998364,0.007923990884997067
76,北凯旋路与尚邻路交汇,125.313452,43.963358,5152,125.314691297744,43.961283637153,1,-0.016668294269990724,0.03907552083300203
77,北环路与凯旋路交汇,125.316501,43.913713,2415,125.317741427952,43.912018500435,0,-0.01361816406199523,-0.010189615884996783
78,北环城路与凯旋路,125.317854,43.950478,4901,125.319080403646,43.948499348959,1,-0.012279188367998017,0.026291232638996576
79,"包豪斯小区
",125.335921,43.931923,1862,125.337116699219,43.930094401042,0,0.005757107204999556,0.007886284721998038
80,铁北四路z223路北七条站,125.348077,43.916078,2694,125.349246690539,43.914376627605,0,0.017887098525008582,-0.007831488714998613
81,青旅宽城一号南门,125.322953,43.942782,2513,125.324172905816,43.940873209636,1,-0.007186686197997005,0.018665093316002412
82,基隆逸居,125.285207,43.942017,5430,125.286506347657,43.940114746094,2,-0.04485324435700022,0.017906629773996485
83,证大光明城三期南门,125.330233,43.938739,1931,125.331432291667,43.936849500869,1,7.269965300338299e-05,0.014641384549001657
84,美印雅苑,125.346423,43.919857,1981,125.347593044705,43.918121202257,0,0.016233452690997296,-0.004086914063002212
85,菜市北街塞纳阳光小区,125.309372,43.945431,3785,125.310617947049,43.943497450087,2,-0.02074164496499975,0.02128933376700104
86,证大清华园7号门,125.330752,43.941487,2198,125.331953938803,43.939578993056,1,0.0005943467890006104,0.017370876736002572
87,地铁名典,125.323814,43.932281,1271,125.325023600261,43.930451117622,1,-0.006335991752990822,0.008243001301998731
88,台北大街澎湖林苑,125.306138,43.925500,3452,125.307387152778,43.923723687066,2,-0.02397243923599035,0.0015155707460010603
89,上台花园C区南门,125.343106,43.938717,3131,125.34427734375,43.936833767362,1,0.01291775173599774,0.014625651042003085
90,亚泰大街与一匡街交汇中岳花园,125.341377,43.925111,1862,125.342560492622,43.923338758681,0,0.01120090060800294,0.0011306423609980243
91,华大天朗,125.345208,43.948490,4042,125.346374240452,43.946541883681,1,0.01501464843799738,0.024333767361000014
92,亚泰大街与长新街交汇包豪斯小区,125.335921,43.931923,1862,125.337116699219,43.930094401042,0,0.005757107204999556,0.007886284721998038
93,友谊花园北门,125.320374,43.937034,2134,125.321595052084,43.935161946615,1,-0.009764539929989269,0.012953830294996749
94,宽府路站,125.330062,43.942557,2223,125.331262207032,43.940646701389,1,-9.73849819985162e-05,0.018438585068999203
95,劳模会馆,125.349006,43.930739,2218,125.350171440973,43.928919542101,0,0.018811848959003896,0.006711425780999036
96,上台花园C区,125.343106,43.938717,3131,125.34427734375,43.936833767362,1,0.01291775173599774,0.014625651042003085
97,卓扬中华城东北门,125.331249,43.947879,3158,125.332446289063,43.945925835504,1,0.001086697049004215,0.02371771918399901
98,远创紫樾台,125.297457,43.920041,4197,125.29872639974,43.918303493924,2,-0.032633192273991085,-0.0039046223959999793
99,豪邦四季经典A区,125.278864,43.936033,5969,125.280185818143,43.934182128907,2,-0.05117377387099964,0.011974012586996707
100,宽府路,125.330062,43.942557,2223,125.331262207032,43.940646701389,1,-9.73849819985162e-05,0.018438585068999203
101,万龙国际城三期,125.320490,43.952957,5144,125.321707899306,43.950962727865,1,-0.009651692707990378,0.028754611544997033
102,证大清丰园三期,125.329958,43.939750,2042,125.331151529948,43.937868381077,1,-0.00020806206599388588,0.01566026475700255
103,紫金豪庭,125.335771,43.938949,2616,125.336967502171,43.937060004341,1,0.005607910157010565,0.014851888020999127
104,凯旋小区,125.319134,43.934428,1985,125.320361328125,43.932571072049,1,-0.010998263888993165,0.01036295572900059
105,宽城区豪邦四季中央,125.296991,43.935704,4768,125.2982679579,43.93384358724,2,-0.03309163411400107,0.01163547091999817
106,上台花园,125.340040,43.938556,2942,125.341228841146,43.936678059896,1,0.009869249132009372,0.014469943576003175
107,万盛国邦,125.338530,43.947330,3519,125.339716254341,43.945390353733,1,0.00835666232700305,0.023182237413003293
108,证大清丰园三期,125.329958,43.939750,2042,125.331151529948,43.937868381077,1,-0.00020806206599388588,0.01566026475700255
109,万星幸福城1期,125.334114,43.948937,3632,125.33530436198,43.946980794271,1,0.003944769965997352,0.02477267795099891
110,证大光明城1期,125.335133,43.941567,2519,125.336325954862,43.939667154948,1,0.004966362848008998,0.01745903862799736
111,柳影家园二期孩子自己打车,125.299661,43.939690,4049,125.300924479167,43.937805175782,2,-0.030435112847001733,0.01559705946200296
112,青旅宽城一号南门,125.322953,43.942782,2513,125.324172905816,43.940873209636,1,-0.007186686197997005,0.018665093316002412
113,美印雅苑,125.346423,43.919857,1981,125.347593044705,43.918121202257,0,0.016233452690997296,-0.004086914063002212
114,春铁新城33栋3门儿709,125.336300,43.919807,1064,125.33749593099,43.918072374132,0,0.006136338976006073,-0.004135742187997948
115,亚泰大街与一匡街交汇处,125.337597,43.925548,808,125.338780110678,43.92376139323,0,0.007420518664005726,0.001553276910001955
116,钻石礼都b6栋,125.343823,43.923428,1221,125.345006781685,43.921664496528,0,0.013647189671004867,-0.0005436197919976848
117,金质融城三期,125.326922,43.934438,1545,125.328132595487,43.932585720487,1,-0.0032269965269904333,0.0103776041669974
118,铁路宿舍19栋,125.316280,43.907517,3556,125.31751953125,43.905871853299,0,-0.013840060763996576,-0.016336263021003106
119,宽府路288公交站点,125.330062,43.942557,2223,125.331262207032,43.940646701389,1,-9.73849819985162e-05,0.018438585068999203
120,宽城区上台新村南1门劳模会馆对面,125.349374,43.931623,2354,125.350542534723,43.929799804688,0,0.019182942709008444,0.007591688368002281
121,宽城区宽府路,125.330062,43.942557,2223,125.331262207032,43.940646701389,1,-9.73849819985162e-05,0.018438585068999203
122,上台花园C区,125.343106,43.938717,3131,125.34427734375,43.936833767362,1,0.01291775173599774,0.014625651042003085
123,民生家园273站点,125.308482,43.920283,2611,125.309731987848,43.918540581598,2,-0.021627604165999514,-0.0036675347219983223
124,金质融城三期,125.326922,43.934438,1545,125.328132595487,43.932585720487,1,-0.0032269965269904333,0.0103776041669974
125,小南街华大天朗 A 区,125.343250,43.948374,3717,125.344429253473,43.946428493924,1,0.013069661458999349,0.024220377604002863
126,北凯旋路与尚邻路交汇273路站点,125.313452,43.963358,5152,125.314691297744,43.961283637153,1,-0.016668294269990724,0.03907552083300203
127,华大城2期南门,125.332435,43.958598,5210,125.333631184896,43.956561957466,1,0.002271592882010509,0.034353841146000264
128,卓阳中华城,125.330167,43.947714,2931,125.331363389757,43.945764160157,1,3.7977430054070282e-06,0.023556043836997276
129,北亚泰大街,125.338003,43.939176,2325,125.339193522136,43.937294108073,1,0.007833930122004062,0.015085991752997074
130,劳模会馆,125.349006,43.930739,2218,125.350171440973,43.928919542101,0,0.018811848959003896,0.006711425780999036
131,长新街铁路小区,125.335835,43.930323,1587,125.337026095921,43.928505316841,0,0.005666503907008291,0.006297200520997137
132,北十条,125.352981,43.917447,2911,125.354149576823,43.915734592014,0,0.022789984809008956,-0.006473524306002787
133,万龙国际城三期（178路北四环站）,125.320490,43.952957,5144,125.321707899306,43.950962727865,1,-0.009651692707990378,0.028754611544997033
134,劳模会馆,125.349006,43.930739,2218,125.350171440973,43.928919542101,0,0.018811848959003896,0.006711425780999036
135,保利百合香湾D区,125.370851,43.925256,3436,125.371970757379,43.923488498264,0,0.040611165365007196,0.0012803819439994868
136,紫金豪庭,125.335771,43.938949,2616,125.336967502171,43.937060004341,1,0.005607910157010565,0.014851888020999127
137,证大光明城三期南门或西门,125.330233,43.938739,1931,125.331432291667,43.936849500869,1,7.269965300338299e-05,0.014641384549001657
138,包豪斯小区,125.335921,43.931923,1862,125.337116699219,43.930094401042,0,0.005757107204999556,0.007886284721998038
139,宽府路,125.330062,43.942557,2223,125.331262207032,43.940646701389,1,-9.73849819985162e-05,0.018438585068999203
140,华泰二期,125.302644,43.943920,4155,125.303901638455,43.941997070313,2,-0.02745795355899361,0.01978895399300029
141,凯旋路凯旋花园,125.319134,43.934428,1985,125.320361328125,43.932571072049,1,-0.010998263888993165,0.01036295572900059
142,万龙建阳府,125.286374,43.887531,7710,125.287689887153,43.886048177084,2,-0.043669704861002856,-0.03615993923600058
143,紫金豪庭东门,125.335771,43.938949,2616,125.336967502171,43.937060004341,1,0.005607910157010565,0.014851888020999127
144,吉林工师,125.316444,43.937447,2266,125.317674696181,43.935574544271,1,-0.013684895832994926,0.013366427950998627
145,荣旺天下C区,125.346395,43.917014,2597,125.347572428386,43.915302734375,0,0.016212836372005768,-0.006905381945003342
146,华侨城b区,125.342699,43.932932,2519,125.343875054254,43.931106499566,0,0.012515462240003217,0.008898383245998787
147,288天光路站点春铁新城二区,125.331814,43.919633,1004,125.333013237848,43.917903917101,0,0.001653645833997075,-0.004304199218999827
148,美韵星海小区,125.299878,43.944584,3921,125.301135525174,43.942652452257,2,-0.030224066839991792,0.020444335937000346
149,中冶蓝城,125.316863,43.953527,4451,125.318088378907,43.951525607639,1,-0.013271213106989421,0.029317491318998634
150,华大天朗,125.345208,43.948490,4042,125.346374240452,43.946541883681,1,0.01501464843799738,0.024333767361000014
151,万星幸福城A区,125.334569,43.948901,3565,125.335755479601,43.946951497396,1,0.004395887587008929,0.02474338107600005
152,上台新村南二栋一门101室,125.347127,43.934324,2573,125.348296983507,43.932484266494,0,0.016937391493001996,0.01027615017400052
153,白金首府,125.348910,43.928470,2047,125.350080837674,43.92668077257,0,0.01872124566000366,0.004472656250001705
154,吴中印象二期,125.330962,43.943927,2590,125.33216498481,43.942007921007,1,0.0008053927960105511,0.019799804686996936
