,id,loc_x,loc_y,dis,mapbar_x,mapbar_y,centroid,normalize_x,normalize_y
0,富城路与亚泰大街交汇万盛国邦,125.338530,43.947330,4363,125.339716254341,43.945390353733,0,0.009429796006998004,0.023923882378007022
1,亚泰大街与庆丰路交汇,125.333959,43.938554,2169,125.33515218099,43.93667670356,0,0.004865722655992499,0.015210232205006946
2,亚泰大街与庆丰路交汇,125.333959,43.938554,2169,125.33515218099,43.93667670356,0,0.004865722655992499,0.015210232205006946
3,宽府路证大一期三号门,125.330062,43.942557,2214,125.331262207032,43.940646701389,0,0.0009757486979964369,0.019180230034002932
4,凯旋路与铁北二路北二胡同交汇金玉良园小区,125.315583,43.916607,2403,125.316819390191,43.914884982639,0,-0.013467068143000915,-0.00658148871599451
5,亚泰大街与天光路交汇钻石礼都西区南门,125.339658,43.922210,999,125.340845269098,43.920457085504,1,0.010558810763996007,-0.0010093858509989673
6,九台路与宽府路交汇吴中印象二期西门,125.330962,43.943927,2581,125.33216498481,43.942007921007,0,0.0018785264760055043,0.020541449652000665
7,虹景路与美程街交汇虹景阁小区,125.348743,43.927131,2323,125.349910210504,43.925351291233,1,0.01962375217000556,0.003884819878003043
8,北人民大街与长新街交汇地铁名典海棠苑,125.323110,43.932304,1653,125.324331597223,43.930469563803,0,-0.0059548611110074035,0.00900309244800468
9,小南街万盛珑玺B区,125.336138,43.955323,4580,125.337320963542,43.953320855035,0,0.007034505207997199,0.03185438368000604
10,北亚泰大街与富城路交汇万盛国邦小区,125.338580,43.946145,3444,125.339766167535,43.944211154514,0,0.009479709201002606,0.022744683159004353
11,榆树北街与宋家路交会,125.305659,43.945723,3867,125.306899142796,43.943790961372,2,-0.02338731553800244,0.02232449001700587
12,柳影路铁路小区干休所,125.310552,43.940665,2945,125.311790093316,43.938761935764,2,-0.01849636501799523,0.017295464409002648
13,北亚泰大街与一匡街交汇,125.331865,43.924126,393,125.333064507379,43.922351074219,1,0.0027780490450055595,0.0008846028640050463
14,长新街和美程街交汇处,125.329772,43.930777,1163,125.330979546441,43.928953179254,0,0.0006930881069990846,0.007486707899005296
15,小南街与华城路交汇华大城二期小区,125.333421,43.959128,5118,125.334614257813,43.957093098959,0,0.004327799479000305,0.03562662760400315
16,九台路和庆丰路交汇郡望安石小区,125.330990,43.937200,2162,125.332194010417,43.93533203125,0,0.0019075520829971992,0.013865559895002377
17,柳影路与菜市南街交汇,125.296362,43.944073,4041,125.29763780382,43.942147894966,2,-0.03264865451400567,0.020681423611002003
18,九台路和庆丰路交汇宽城区证大光明城,125.330320,43.939942,1966,125.331522623698,43.938058810764,0,0.0012361653640056147,0.01659233940900151
19,小城子路第一卫生所,125.287281,43.965819,9701,125.288583713108,43.963732910157,2,-0.04170274522600437,0.042266438802002426
20,长新街与北亚太大街交汇,125.339995,43.903415,3040,125.34118326823,43.901808810764,1,0.010896809895996284,-0.01965766059099394
21,天波路和一匡街交汇五月花苑小区,125.333818,43.925013,559,125.335009765625,43.923234320747,1,0.004723307291001788,0.0017678493920030292
22,正大光明城北侧宽府路288公交站,125.330062,43.942557,2214,125.331262207032,43.940646701389,0,0.0009757486979964369,0.019180230034002932
23,小南街与朗秀路交汇,125.338482,43.942383,3513,125.339665256077,43.940483127171,0,0.00937879774299688,0.01901665581600298
24,长新街白金首府,125.348678,43.929664,2537,125.349840223525,43.927859700521,1,0.019553765191005823,0.0063932291660009355
25,长新桥,125.368401,43.931450,3968,125.369526909723,43.929641384549,1,0.03924045138900567,0.008174913194004318
26,万星幸福城,125.334114,43.948937,3657,125.33530436198,43.946980794271,0,0.005017903645992305,0.02551432291600264
27,亚太大街8路终点站,125.339995,43.903415,3040,125.34118326823,43.901808810764,1,0.010896809895996284,-0.01965766059099394
28,团山小区,125.356426,43.943738,4772,125.357571885851,43.941825086806,1,0.02728542751700047,0.020358615451002038
29,团山小区,125.356426,43.943738,4772,125.357571885851,43.941825086806,1,0.02728542751700047,0.020358615451002038
30,金质融城三期,125.326922,43.934438,1536,125.328132595487,43.932585720487,0,-0.00215386284699548,0.01111924913200113
31,万龙第十城,125.315724,43.955516,5332,125.316955837674,43.9535023329,2,-0.013330620659999681,0.03203586154500471
32,万盛国邦,125.338530,43.947330,4363,125.339716254341,43.945390353733,0,0.009429796006998004,0.023923882378007022
33,紫金豪庭,125.335771,43.938949,2607,125.336967502171,43.937060004341,0,0.006681043837005518,0.015593532986002856
34,紫金豪庭,125.335771,43.938949,2607,125.336967502171,43.937060004341,0,0.006681043837005518,0.015593532986002856
35,雨润溪树华庭,125.349553,43.926207,1899,125.350722113716,43.924423285591,1,0.020435655382001983,0.0029568142360005822
36,东安白金首府,125.347987,43.928912,2088,125.349148491754,43.927118869358,1,0.018862033419992486,0.005652398003000769
37,砂之船,125.326391,43.947650,3067,125.327603081598,43.945706651476,0,-0.002683376736001719,0.02424018012100504
38,亚泰大街与庆丰路交汇,125.333959,43.938554,2169,125.33515218099,43.93667670356,0,0.004865722655992499,0.015210232205006946
39,长新街,125.329772,43.930777,1163,125.330979546441,43.928953179254,0,0.0006930881069990846,0.007486707899005296
40,英伦小镇,125.307047,43.951043,4713,125.308293457032,43.949070095487,2,-0.021993001302007542,0.027603624132005677
41,华泰小区,125.321697,43.925610,960,125.322916937935,43.923831108941,0,-0.007369520398995633,0.002364637586005358
42,扶余路与榆树南街交汇,125.303351,43.938444,3889,125.304612630209,43.936561414931,2,-0.025673828125007958,0.015094943576002606
