,id,loc,dis
125,团山小区,"125.356426,43.943738",4795
126,长新小区,"125.331104,43.929561",902
127,奥林花园,"125.301201,43.919681",4001
128,蓝天花园,"125.293069,43.894737",6791
129,吴中印象一期,"125.334992,43.943573",2877
130,白金首府一期,"125.348706,43.928825",2692
131,"凯旋路与北环城路交汇万龙第十城D区

","125.314218,43.953971",4305
132,小南街与朗秀路交汇华大天朗A区,"125.338482,43.942383",3536
133,上台花园B区,"125.339351,43.938720",2676
134,亚泰大街与宽府路交汇,"125.335133,43.941567",2533
135,上台花园C区,"125.343106,43.938717",3279
136,郡望安石小区,"125.331389,43.936283",2789
137,"热电小区B区
","125.336741,43.920365",1580
138,北亚泰大街与兴和路交汇开关厂宿舍,"125.337159,43.927224",1380
139,长新街与长平街交汇马塞公寓小区,"125.318899,43.931967",1853
140,扶余路万龙第八城C区2号门,"125.306002,43.937987",3257
141,吴中印象二期,"125.330962,43.943927",2604
142,中冶蓝城二期,"125.315912,43.953877",4174
143,华大天朗,"125.345208,43.948490",4056
144,华大城二期,"125.333421,43.959128",5141
145,沈铁北部湾A区,"125.331662,43.955412",4952
146,庆丰路与上台街交汇,"125.333344,43.937362",1917
147,塞纳阳光A区,"125.309372,43.945431",3603
148,郡望安石西门,"125.329130,43.936120",2171
149,东天光路与利国街交汇,"125.344187,43.920638",2337
