,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
53,53,吉林工师家属楼,"125.318606,43.940348",2447,"125.319831000435,43.938446723091",2,"-0.0068362087669981975,0.012859700520998274"
54,54,小南街华大天朗四期B区,"125.344288,43.945356",3773,"125.345461425782,43.943432345921",1,"0.01879421658000524,0.017845323351004083"
55,55,小南街华大城一期,"125.333856,43.956194",5256,"125.335044759115,43.95418592665",1,"0.008377549912992777,0.028598904079998988"
56,56,亚泰大街与长新街交汇东行200米，11路公交车开关站点,"125.338543,43.926796",2007,"125.33973280165,43.925002441407",0,"0.013065592448000984,-0.0005845811629967557"
57,57,小南街华大城二期,"125.333421,43.959128",5141,"125.334614257813,43.957093098959",1,"0.00794704861100115,0.03150607638900027"
58,58,九台路吴中印象二期西门,"125.329257,43.943369",2554,"125.330460069445,43.941444769966",1,"0.0037928602429957436,0.01585774739599799"
59,59,九台路证大二期,"125.329825,43.940914",2065,"125.331021321615,43.939017198351",1,"0.004354112412997324,0.013430175781003584"
60,60,监狱宿舍,"125.342035,43.929959",2023,"125.343212890625,43.928147243924",0,"0.01654568142299695,0.0025602213540025787"
61,61,田园牧歌,"125.302151,43.963260",6931,"125.303413628473,43.961194932726",2,"-0.023253580729004852,0.03560791015600273"
62,62,钻石礼都b区11栋,"125.341643,43.923757",1817,"125.342830946181,43.921990017362",0,"0.016163736978995757,-0.0035970052080003256"
63,63,荣旺天下三期,"125.346293,43.916647",2770,"125.347472059462,43.914932996962",0,"0.020804850260006447,-0.010654025607998108"
66,66,小南街 长新街,"125.329772,43.930777",1186,"125.330979546441,43.928953179254",0,"0.00431233723899993,0.0033661566840024193"
67,67,宽城区政府,"125.326581,43.943612",2511,"125.32779296875,43.941699761285",1,"0.0011257595480032023,0.01611273871500174"
68,68,宽城区公园一号,"125.326578,43.943614",2511,"125.327782931858,43.941699761285",1,"0.00111572265599591,0.01611273871500174"
69,69,九台北路中东砂之船,"125.326995,43.947183",3616,"125.328204752605,43.945238444011",1,"0.001537543403003383,0.019651421440997296"
70,70,长新街劳模会馆,"125.349006,43.930739",2528,"125.350171440973,43.928919542101",0,"0.023504231770999695,0.003332519530999889"
71,71,庆丰路,"125.333344,43.937362",1917,"125.334540473091,43.935496148004",1,"0.007873263888996007,0.009909125433999577"
73,73,北湖大桥站,"125.350622,43.976060",9890,"125.351782769098,43.973905436198",1,"0.02511555989599401,0.04831841362800304"
74,74,证大光明城一期,"125.334537,43.941703",2486,"125.335724555122,43.939806043837",1,"0.009057345919998738,0.01421902126700303"
75,75,证大光明城一期,"125.334537,43.941703",2486,"125.335724555122,43.939806043837",1,"0.009057345919998738,0.01421902126700303"
76,76,庆丰路与凯旋路交汇,"125.337294,43.937788",2256,"125.338481174046,43.935913628473",1,"0.011813964843994995,0.010326605903003383"
77,77,天光路站,"125.332757,43.920230",1251,"125.333956163195,43.918495279948",0,"0.007288953992997449,-0.007091742622002073"
78,78,天光路,"125.332757,43.920230",1251,"125.333956163195,43.918495279948",0,"0.007288953992997449,-0.007091742622002073"
79,79,一匡街,"125.333927,43.923756",1429,"125.335119900174,43.921985405816",0,"0.008452690972006849,-0.00360161675399695"
80,80,中冶蓝城三期,"125.317355,43.955859",4082,"125.318579915365,43.953844943577",2,"-0.008087293836993581,0.028257921007003972"
81,81,华大天朗国际a区,"125.342772,43.948486",3943,"125.343947753907,43.946537543403",1,"0.0172805447050024,0.0209505208329972"
82,82,劳模会馆,"125.349006,43.930739",2528,"125.350171440973,43.928919542101",0,"0.023504231770999695,0.003332519530999889"
83,83,常欣家园三区,"125.354942,43.926094",3839,"125.356095648872,43.924312879775",0,"0.029428439669999307,-0.0012741427949976014"
84,84,美景天城二期,"125.307023,43.935237",3515,"125.308270670573,43.933379177518",2,"-0.018396538629005477,0.007792154947999563"
85,85,长山花园社区,"125.353404,43.932103",2879,"125.354562717014,43.930276692709",0,"0.027895507812004894,0.004689670139001123"
86,86,小南华大天朗,"125.334855,43.959771",5104,"125.336047905816,43.957735731337",1,"0.009380696614002204,0.0321487087670036"
87,87,万星幸福城,"125.334114,43.948937",3680,"125.33530436198,43.946980794271",1,"0.008637152777993151,0.021393771700999764"
88,88,荣旺天下C区,"125.346395,43.917014",3502,"125.347572428386,43.915302734375",0,"0.020905219184001567,-0.010284288195002489"
89,89,金美程家园,"125.348569,43.922022",2538,"125.349729003907,43.920273980035",0,"0.023061794705000693,-0.005313042535000534"
90,90,华大城一期,"125.333856,43.956194",5256,"125.335044759115,43.95418592665",1,"0.008377549912992777,0.028598904079998988"
91,91,吴中印象二期,"125.330962,43.943927",2604,"125.33216498481,43.942007921007",1,"0.00549777560800635,0.01642089843699779"
92,92,金都小镇,"125.289100,43.966024",9833,"125.290397135417,43.963935004341",2,"-0.0362700737850048,0.03834798177100396"
93,93,上台新村,"125.345433,43.933340",2502,"125.346602376303,43.931511501737",0,"0.01993516710099641,0.005924479166999674"
94,94,小南街华大天朗,"125.343250,43.948374",3731,"125.344429253473,43.946428493924",1,"0.017762044270995148,0.020841471354003716"
95,95,华大天朗,"125.345208,43.948490",4056,"125.346374240452,43.946541883681",1,"0.01970703124999318,0.020954861111000866"
96,96,华大城四期西门,"125.333361,43.956673",5164,"125.334553765191,43.95465467665",1,"0.007886555989003341,0.029067654080002114"
97,97,卓扬中华城小区东门,"125.331249,43.947879",3172,"125.332446289063,43.945925835504",1,"0.005779079861000014,0.02033881293399986"
98,98,华大天朗A区,"125.343004,43.948547",3924,"125.344178331164,43.946598036025",1,"0.017511121962002107,0.021011013455002114"
99,99,九台路与庆丰路交汇,"125.329950,43.931220",1088,"125.331160210504,43.929403211806",0,"0.0044930013019950366,0.0038161892359980243"
100,100,证大光明城清华园,"125.330752,43.941487",2212,"125.331953938803,43.939578993056",1,"0.005286729600996409,0.013991970486003424"
101,101,万星幸福城B区,"125.334114,43.948937",3680,"125.33530436198,43.946980794271",1,"0.008637152777993151,0.021393771700999764"
102,102,庆丰路,"125.333344,43.937362",1917,"125.334540473091,43.935496148004",1,"0.007873263888996007,0.009909125433999577"
103,103,宽城区紫金豪庭,"125.335771,43.938949",2630,"125.336967502171,43.937060004341",1,"0.010300292969006364,0.01147298177099998"
104,104,宽城区正大光明城一期,"125.335420,43.942217",2623,"125.33661702474,43.940307345921",1,"0.009949815537993345,0.01472032335099982"
105,105,宽城区华大天朗国际A区,"125.341147,43.950774",4738,"125.342323676216,43.948802897136",1,"0.015656467013997144,0.023215874565998718"
106,106,宽城区万星幸福城A区,"125.334569,43.948901",3613,"125.335755479601,43.946951497396",1,"0.009088270399004728,0.0213644748260009"
107,107,宽城区包豪斯小区,"125.335960,43.932166",1689,"125.337156846789,43.930334472657",0,"0.010489637586999834,0.004747450087002392"
108,108,宽城区九台北路与富城路交汇驰恒汽车,"125.329950,43.931220",1088,"125.331160210504,43.929403211806",0,"0.0044930013019950366,0.0038161892359980243"
109,109,上台花园A区,"125.339543,43.940467",3128,"125.34072781033,43.938576388889",1,"0.014060601127994232,0.012989366318997497"
110,110,宽城区达兴路雨润星雨华府一期,"125.272580,43.990453",9951,"125.273926323785,43.988194444445",2,"-0.05274088541699484,0.06260742187500057"
111,111,富城路万盛国邦小区,"125.338330,43.946726",3577,"125.339515516494,43.944790039063",1,"0.01284830729200337,0.019203016493001712"
112,112,庆丰路紫金豪庭,"125.335771,43.938949",2630,"125.336967502171,43.937060004341",1,"0.010300292969006364,0.01147298177099998"
113,113,钻石礼都,"125.341391,43.922257",1923,"125.342580023872,43.920500488282",0,"0.015912814670002717,-0.005086534287997324"
114,114,北环城路,"125.325771,43.951562",3350,"125.326981879341,43.949583062066",1,"0.0003146701390051021,0.023996039495997934"
115,115,东天光路天润,"125.351547,43.920649",2923,"125.352706163195,43.918910319011",0,"0.026038953992994607,-0.006676703559001851"
116,116,华大天朗,"125.345208,43.948490",4056,"125.346374240452,43.946541883681",1,"0.01970703124999318,0.020954861111000866"
117,117,华大天朗,"125.345208,43.948490",4056,"125.346374240452,43.946541883681",1,"0.01970703124999318,0.020954861111000866"
118,118,万龙第十城A区,"125.315646,43.955895",5135,"125.316875542535,43.953882107205",2,"-0.009791666666998822,0.028295084634997636"
119,119,凯旋路友谊花园,"125.321061,43.936473",2100,"125.322287055122,43.934603407119",2,"-0.004380154079996146,0.009016384548999667"
