,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
0,0,万龙国际城三期,"125.320490,43.952957",3887,"125.321707899306,43.950962727865",0,"-0.008052300346989227,-0.0019837782120006864"
1,1,万龙第十城,"125.315724,43.955516",3870,"125.316955837674,43.9535023329",0,"-0.012804361978993484,0.0005558268230032581"
2,2,万龙国际城三期,"125.320490,43.952957",3887,"125.321707899306,43.950962727865",0,"-0.008052300346989227,-0.0019837782120006864"
3,3,花园公园一号二期,"125.333911,43.901915",9671,"125.335116373698,43.900318196615",1,"0.005356174045004991,-0.052628309462001255"
4,4,万龙国际城三期,"125.320490,43.952957",3887,"125.321707899306,43.950962727865",0,"-0.008052300346989227,-0.0019837782120006864"
5,5,华大城五期,"125.333361,43.956673",946,"125.334553765191,43.95465467665",2,"0.004793565538008693,0.0017081705730035424"
6,6,华大城五期,"125.333361,43.956673",946,"125.334553765191,43.95465467665",2,"0.004793565538008693,0.0017081705730035424"
7,7,万龙国际城三期,"125.320490,43.952957",3887,"125.321707899306,43.950962727865",0,"-0.008052300346989227,-0.0019837782120006864"
8,8,万龙国际城三期,"125.320490,43.952957",3887,"125.321707899306,43.950962727865",0,"-0.008052300346989227,-0.0019837782120006864"
